python-api-challenge_final
City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,fasa,28.9383,53.6482,4.58,33,0,0.0,IR,1704735676
82,talnakh,69.4865,88.3972,-25.24,91,100,3.27,RU,1704735676
83,kristiansund,63.1115,7.732,4.36,75,75,5.14,NO,1704735677
84,west island,-12.1568,96.8225,26.99,83,40,7.2,CC,1704735677
85,alice springs,-23.7,133.8833,26.79,47,53,2.24,AU,1704735594
86,waitangi,-43.9535,-176.5597,16.01,90,93,0.89,NZ,1704735678
87,toba,34.4833,136.85,2.0,63,66,5.61,JP,1704735679
88,naantali,60.4674,22.0243,-2.77,93,100,1.54,FI,1704735679
89,port elizabeth,-33.918,25.5701,20.16,84,20,3.09,ZA,1704735680
90,petropavlovsk-kamchatsky,53.0452,158.6483,-20.67,77,0,5.0,RU,1704735681
91,rongelap,11.1635,166.8941,27.83,66,100,9.93,MH,1704735681
92,lebu,-37.6167,-73.65,17.12,69,0,7.71,CL,1704735682
93,gadzhiyevo,69.2551,33.3362,-11.71,97,100,2.73,RU,1704735591
94,tsiombe,-25.3,45.4833,24.33,85,30,6.96,MG,1704735683
95,itapetinga,-15.2489,-40.2478,32.19,49,97,1.71,BR,1704735684
96,tolanaro,-25.0319,46.9987,25.04,88,75,7.2,MG,1704735684
97,gizo,-8.103,156.8419,27.82,80,72,2.75,SB,1704735685
98,jayapura,-2.5333,140.7,24.66,90,100,1.77,ID,1704735686
99,anna regina,7.2644,-58.5077,28.83,60,64,2.7,GY,1704735686
100,meadow lake,34.8014,-106.5436,-1.2,51,96,10.92,US,1704735687
101,gagra,43.3283,40.2239,11.19,90,100,2.39,GE,1704735688
102,rodolfo sanchez taboada,31.7167,-116.5667,12.28,48,0,1.34,MX,1704735689
103,invercargill,-46.4,168.35,13.9,93,100,2.02,NZ,1704735690
104,avarua,-21.2078,-159.775,26.03,89,40,4.63,CK,1704735691
105,papao,-17.75,-149.55,27.82,87,61,7.71,PF,1704735691
106,cill airne,52.05,-9.5167,2.03,80,20,4.63,IE,1704735692
107,pisco,-13.7,-76.2167,25.01,73,20,4.12,PE,1704735693
108,hailun,47.45,126.9333,-26.87,100,78,2.7,CN,1704735694
109,biswan,27.5,81.0,13.39,54,0,3.24,IN,1704735695
110,luderitz,-26.6481,15.1594,19.77,67,1,12.08,,1704735695
111,freetown,8.484,-13.2299,27.88,68,58,4.69,SL,1704735696
112,minas de marcona,-15.2119,-75.1103,23.19,59,73,6.86,PE,1704735697
113,ribeira brava,32.65,-17.0667,22.78,87,100,2.48,PT,1704735697
114,nieuw amsterdam,5.8833,-55.0833,30.01,66,40,5.14,SR,1704735698
115,atafu village,-8.5421,-172.5159,28.81,70,34,3.11,TK,1704735490
116,port mathurin,-19.6833,63.4167,27.86,65,86,2.78,MU,1704735519
117,buique,-8.6231,-37.1558,34.49,13,0,2.9,BR,1704735700
118,tromso,69.6496,18.957,2.01,93,75,7.72,NO,1704735700
119,borogontsy,62.6683,131.1683,-49.43,100,94,0.4,RU,1704735706
120,remire-montjoly,4.9167,-52.2667,27.02,89,75,5.14,GF,1704735706
121,severo-yeniseyskiy,60.3725,93.0408,-14.5,95,100,2.11,RU,1704735706
122,buala,-8.145,159.5921,26.36,84,99,0.88,SB,1704735707
123,whitehorse,60.7161,-135.0538,-14.57,84,40,10.29,CA,1704735707
124,ceerigaabo,10.6162,47.368,13.68,30,31,5.87,SO,1704735707
125,taybad,34.74,60.7756,8.09,37,1,6.15,IR,1704735708
126,tidjikja,18.5564,-11.4271,26.27,8,8,3.78,MR,1704735708
127,yermentau,51.6214,73.1069,-16.36,87,96,10.84,KZ,1704735708
128,vila velha,-20.3297,-40.2925,32.97,74,20,5.66,BR,1704735637
129,belle fourche,44.6714,-103.8522,-4.72,62,96,4.91,US,1704735709
130,zaysan,47.4667,84.8667,-3.74,95,100,0.77,KZ,1704735709
131,new norfolk,-42.7826,147.0587,14.72,92,100,0.83,AU,1704735710
132,castelldefels,41.2779,1.9703,10.67,41,0,3.13,ES,1704735710
133,hasaki,35.7333,140.8333,0.22,43,27,1.3,JP,1704735711
134,jeremoabo,-10.075,-38.4808,36.75,20,94,4.6,BR,1704735711
135,mount gambier,-37.8333,140.7667,14.18,84,49,1.78,AU,1704735711
136,stanley,54.868,-1.6985,2.09,80,75,4.12,GB,1704735712
137,kone,-21.0595,164.8658,24.02,88,2,0.69,NC,1704735712
138,isafjordur,66.0755,-23.124,9.02,66,75,7.2,IS,1704735491
139,estes park,40.3772,-105.5217,-5.69,56,74,6.71,US,1704735604
140,lido adriano,44.4123,12.3086,9.43,88,100,1.03,IT,1704735714
141,kabalo,-6.05,26.9167,21.35,97,90,1.15,CD,1704735714
142,hami,42.8,93.45,-5.4,61,6,1.8,CN,1704735714
143,sabang,5.8933,95.3214,27.63,77,74,6.96,ID,1704735715
144,saint-pierre,-21.3393,55.4781,26.82,74,0,4.63,RE,1704735715
145,as sulayyil,20.4607,45.5779,17.14,37,0,3.87,SA,1704735715
146,hamilton,39.1834,-84.5333,5.21,72,75,7.2,US,1704735943
147,yellowknife,62.456,-114.3525,-31.51,75,75,2.06,CA,1704735658
148,monte alegre,-2.0078,-54.0692,30.21,64,100,1.68,BR,1704735716
149,iqaluit,63.7506,-68.5145,-26.84,62,20,1.54,CA,1704735717
150,weno,7.4515,151.8468,27.97,74,40,4.63,FM,1704735717
151,taltal,-25.4,-70.4833,21.4,68,15,2.25,CL,1704735717
152,ribas do rio pardo,-20.4431,-53.7592,38.19,25,29,1.69,BR,1704735718
153,forster,-32.1667,152.5167,22.94,94,73,1.99,AU,1704735593
154,nadym,65.5333,72.5167,-18.62,97,100,5.6,RU,1704735718
155,lower hutt,-41.2167,174.9167,18.24,85,75,9.26,NZ,1704735592
156,puerto armuelles,8.2833,-82.8667,32.99,68,86,0.45,PA,1704735686
157,khorixas,-20.3667,14.9667,25.23,33,100,7.09,,1704735719
158,gaspe,48.8334,-64.4819,-3.05,54,40,3.09,CA,1704735542
159,pratt,37.6439,-98.7376,3.34,100,100,6.69,US,1704735725
160,naze,28.3667,129.4833,9.51,67,90,1.58,JP,1704735725
161,nuuk,64.1835,-51.7216,-4.66,80,75,9.77,GL,1704735726
162,fort mcmurray,56.7268,-111.381,-20.27,84,100,1.54,CA,1704735699
163,daru,-9.0763,143.2092,25.46,87,100,1.65,PG,1704735727
164,jamestown,42.097,-79.2353,2.23,91,100,3.09,US,1704735659
165,argentan,48.75,-0.0167,-2.77,72,33,2.92,FR,1704735728
166,nadi,-17.8,177.4167,24.0,88,40,2.57,FJ,1704735459
167,sanaa,15.3547,44.2067,10.76,57,33,2.89,YE,1704735729
168,constantia,44.1833,28.65,-5.62,77,100,10.12,RO,1704735729
169,amos,48.5669,-78.1162,-10.56,71,99,2.88,CA,1704735730
170,yuzhno-kurilsk,44.0306,145.8556,-4.79,67,60,3.54,RU,1704735730
171,tofol,5.3248,163.0078,27.96,78,97,9.72,FM,1704735730
172,badger,64.8,-147.5333,-5.86,88,100,0.0,US,1704735731
173,chibougamau,49.9168,-74.3659,-13.21,78,100,4.63,CA,1704735732
174,ringas,27.35,75.5667,12.05,75,0,2.05,IN,1704735732
175,grande prairie,55.1667,-118.8027,-22.9,77,75,1.54,CA,1704735842
176,amboasary,-25.0333,46.3833,24.21,89,0,4.96,MG,1704735733
177,kodiak,57.79,-152.4072,-3.27,86,0,3.6,US,1704735733
178,fisterra,42.9049,-9.2629,7.08,77,100,3.07,ES,1704735734
179,illapel,-31.6308,-71.1653,28.54,31,0,4.77,CL,1704735734
180,hammerfest,70.6634,23.6821,-0.75,100,100,0.51,NO,1704735735
181,kourou,5.1552,-52.6478,27.03,78,33,4.66,GF,1704735735
182,tura,25.5198,90.2201,14.69,69,1,0.93,IN,1704735736
183,khandyga,62.6667,135.6,-46.6,100,99,0.35,RU,1704735737
184,chanda,19.95,79.3,21.23,45,0,2.42,IN,1704735737
185,bredasdorp,-34.5322,20.0403,18.93,69,77,5.38,ZA,1704735739
186,ust-nera,64.5667,143.2,-40.83,98,98,1.86,RU,1704735739
187,la passe,45.5549,-0.8967,1.13,71,6,4.82,FR,1704735740
188,ishigaki,24.3448,124.1572,21.07,78,75,4.63,JP,1704735740
189,chimore,-16.9833,-65.1333,32.38,62,68,1.51,BO,1704735741
190,harstad,68.799,16.5293,4.66,98,100,12.52,NO,1704735648
191,kostyantynivka,48.5277,37.7069,-7.53,91,100,7.04,UA,1704735743
192,bonaberi,4.0779,9.6759,29.98,79,20,1.54,CM,1704735743
193,udachny,66.4167,112.4,-36.59,99,63,1.28,RU,1704735744
194,codrington,-38.2667,141.9667,15.43,86,98,3.27,AU,1704735744
195,plettenberg bay,-34.0527,23.3716,18.24,86,81,4.17,ZA,1704735616
196,banda aceh,5.5577,95.3222,26.01,80,86,2.96,ID,1704735745
197,guanica,17.9716,-66.908,31.17,62,28,8.01,PR,1704735746
198,tual,-5.6667,132.75,29.13,74,89,5.27,ID,1704735747
199,ribeira grande,38.5167,-28.7,17.22,72,40,5.36,PT,1704735494
200,lihue,21.9789,-159.3672,21.77,94,100,5.14,US,1704735656
201,anzio,41.4853,12.6179,11.03,72,86,1.1,IT,1704735748
202,chulym,55.0997,80.9572,-12.19,86,96,10.74,RU,1704735749
203,huadian,42.9633,126.7478,-9.52,94,100,4.13,CN,1704735749
204,afaahiti,-17.75,-149.2833,26.93,86,80,6.04,PF,1704735750
205,nova xavantina,-14.6667,-52.35,26.63,82,98,3.06,BR,1704735750
206,bam,29.106,58.357,10.15,26,0,1.44,IR,1704735751
207,broome,42.2506,-75.833,3.17,86,100,3.09,US,1704735751
208,sitka,57.0531,-135.33,2.94,87,100,1.54,US,1704735752
209,fortuna,40.5982,-124.1573,8.32,88,100,4.47,US,1704735753
210,verkhovazh'ye,60.7472,42.0465,-8.25,93,100,4.64,RU,1704735753
211,kudymkar,59.0173,54.656,-15.79,92,80,4.55,RU,1704735754
212,aktobe,50.2797,57.2072,-23.95,84,0,1.0,KZ,1704735754
213,lucas,41.6501,-83.6666,1.32,75,100,4.12,US,1704735700
214,wynyard,-41.0,145.7167,13.75,88,96,1.98,AU,1704735713
215,gisborne,-38.6533,178.0042,15.82,87,9,2.93,NZ,1704735756
216,mendaha,-1.0333,103.5833,24.22,95,89,0.7,ID,1704735757
217,lucapa,-8.4192,20.7447,19.82,98,100,0.52,AO,1704735757
218,kruisfontein,-34.0033,24.7314,18.82,83,100,2.61,ZA,1704735758
219,sao manuel,-22.7311,-48.5706,32.07,34,46,3.14,BR,1704735759
220,hithadhoo,-0.6,73.0833,28.35,74,62,5.4,MV,1704735759
221,novo aripuana,-5.1206,-60.3797,32.11,51,94,2.19,BR,1704735759
222,huayin,34.5675,110.0921,6.38,63,86,2.88,CN,1704735760
223,aral,40.5156,81.2636,-1.13,34,5,1.96,CN,1704735760
224,vegreville,53.5001,-112.0518,-19.7,77,10,3.09,CA,1704735760
225,pangody,65.85,74.4859,-19.37,98,100,5.04,RU,1704735761
226,kiama,-34.6833,150.8667,22.36,89,3,0.89,AU,1704735761
227,aiquile,-18.2041,-65.1807,30.62,21,22,4.82,BO,1704735762
228,pacific grove,36.6177,-121.9166,11.47,77,0,2.06,US,1704735762
229,ust-tsilma,65.441,52.1498,-12.99,97,100,1.34,RU,1704735762
230,tralee,52.2704,-9.7026,2.14,75,20,5.14,IE,1704735763
231,brownfield,33.1812,-102.2744,6.33,28,0,14.27,US,1704735763
232,queenstown,-31.8976,26.8753,16.24,92,97,4.41,ZA,1704735763
233,ambon,-3.6954,128.1814,26.08,89,40,1.54,ID,1704735764
234,afif,23.9065,42.9172,17.04,35,0,3.64,SA,1704735764
235,nemuro,43.3236,145.575,-3.99,63,44,3.06,JP,1704735532
236,ascension,30.2169,-90.9001,17.0,86,100,4.12,US,1704735765
237,kavaratti,10.5669,72.642,27.72,76,41,1.74,IN,1704735765
238,charters towers,-20.1,146.2667,24.44,85,97,1.4,AU,1704735765
239,port blair,11.6667,92.75,27.02,83,40,3.6,IN,1704735766
240,vuokatti,64.146,28.2697,-8.08,97,91,1.5,FI,1704735766
241,gebeit,21.0667,36.3167,21.22,61,3,3.03,SD,1704735766
242,kirakira,-10.4544,161.9205,26.27,86,37,1.41,SB,1704735633
243,bisauli,28.3167,78.9333,12.23,45,0,2.88,IN,1704735767
244,catriel,-37.8791,-67.7956,27.55,16,0,2.55,AR,1704735767
245,saint croix,17.7397,-64.7388,30.25,69,0,7.2,VI,1704735768
246,mega,4.05,38.3,20.23,35,7,3.85,ET,1704735768
247,dadukou,26.5479,101.7054,8.4,64,0,0.46,CN,1704735768
248,amga,60.8953,131.9608,-45.15,100,100,0.53,RU,1704735769
249,thief river falls,48.1191,-96.1812,-13.47,92,100,2.57,US,1704735769
250,pasni,25.2631,63.471,21.3,33,0,10.24,PK,1704735769
251,waingapu,-9.6567,120.2641,27.03,85,99,2.4,ID,1704735665
252,montecristo,8.2971,-74.4733,34.14,49,90,1.47,CO,1704735770
253,enewetak,11.3474,162.3373,26.89,73,100,9.0,MH,1704735770
254,urumqi,43.801,87.6005,-16.47,85,20,1.0,CN,1704735771
255,wauchope,-31.45,152.7333,22.76,92,100,1.09,AU,1704735771
256,vilyuysk,63.7553,121.6247,-36.11,100,98,0.45,RU,1704735771
257,tell city,37.9514,-86.7678,6.95,68,0,5.14,US,1704735772
258,cooma,-36.2333,149.1333,14.35,93,78,2.36,AU,1704735728
259,isla vista,34.4133,-119.861,14.64,47,0,1.54,US,1704735772
260,sokoni,-6.4333,39.55,28.02,80,51,6.54,TZ,1704735773
261,wagar,16.1525,36.2032,26.24,48,3,7.12,SD,1704735773
262,korla,41.7597,86.1469,-5.42,69,27,1.67,CN,1704735773
263,midvagur,62.0511,-7.1939,6.46,81,100,5.66,FO,1704735774
264,porangatu,-13.4408,-49.1486,22.66,96,100,2.39,BR,1704735774
265,kingsland,30.8,-81.6898,16.63,82,100,3.87,US,1704735748
266,uturoa,-16.7333,-151.4333,26.94,80,39,7.16,PF,1704735775
267,kapuskasing,49.4169,-82.4331,-17.95,71,75,2.06,CA,1704735775
268,merizo village,13.2658,144.6691,26.85,84,66,7.94,GU,1704735660
